"uid","hh_in_r2","hh_in_r3","hh_in_r3_d2","refugee","num_child_base","num_child_r2","num_child_r3","hh_head_sex","hh_head_age","parent_edu_r2","parent_edu_r3","hh_asset_index","hh_asset_index_2017","hh_asset_value","hh_asset_value_2017","hh_cons_agg","hh_cons_capita","hh_income","cantril","parent_eduyears_r2","parent_reledu_r2","parent_eduyears_r3","parent_reledu_r3","distancekmfromcamps","eld_sex_r2","eld_sex_r3","eld_age_r2","eld_age_r3","eld_edu_ambition_r2","eld_edu_ambition_r3","eld_eduyears_r2","eld_eduyears_r3","eld_reledu_r2","eld_reledu_r3","eld_trauma_exp_r2","eld_trauma_exp_r3","eld_trauma_heard_r2","eld_trauma_heard_r3","eld_trauma_witness_r2","eld_trauma_witness_r3","eld_e01_currently_studying_r2","eld_e01_currently_studying_r3","eld_e01_edu_status__r2","eld_e01_edu_status__r3","edu_status_diff","int_sex_r2","int_sex_r3","int_age_r2","int_age_r3","int_eduyears_r2","int_eduyears_r3","int_reledu_r2","int_reledu_r3","int_trauma_exp_r2","int_trauma_exp_r3","int_trauma_heard_r2","int_trauma_heard_r3","int_trauma_witness_r2","int_trauma_witness_r3"
"C602004009",1,1,1,1,6,6,5,0,45,NA,1,-1.33257734775543,2.84220409393311,0.49,47.34743125,0.0555132249997812,0.00693915328979492,0.171,4,NA,NA,0,0,NA,NA,0,NA,45,NA,NA,NA,0,NA,0,NA,1,NA,2,NA,6,NA,NA,NA,NA,NA,0,0,45,17,0,9,0,0,1,0,2,4,6,3
"C602004010",1,0,0,1,2,0,NA,0,25,NA,NA,-2.00898742675781,2.56857347488403,0.62,10.7180140625,0.000129100000287872,3.22750002145767e-05,0.0455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,23,NA,0,NA,0,NA,0,NA,4,NA,2,NA
"C602004011",0,0,0,1,6,NA,NA,0,52,NA,NA,-1.24191761016846,1.83661711215973,0.92,10.40901484375,0.0353179996181279,0.00441474990844727,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602004012",1,1,0,1,0,0,0,1,50,NA,NA,-1.73381400108337,-0.282964199781418,0.7,9.784615625,0.0175629999996163,0.00878150024414063,0.0145,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,20,0,0,0,0,1,1,5,5,3,3
"C602004013",1,1,0,1,2,1,1,0,28,NA,NA,-1.51709091663361,4.21601581573486,0.85,98.14245,0.024019499999471,0.00600487518310547,0.48,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,25,28,4,4,0,0,2,4,2,2,6,4
"C602005001",0,0,0,1,2,NA,NA,1,27,NA,NA,-1.24191761016846,4.35259294509888,0.97,24.842640625,0.00918899999987334,0.00306299991607666,0.0385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602005002",0,0,0,1,3,NA,NA,0,30,NA,NA,-0.384913802146912,2.23191475868225,1.57,3.4632765625,0.00402549999924377,0.000805099964141846,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602005003",1,1,0,1,3,3,3,1,40,NA,NA,-2.14074969291687,-2.09087991714478,0.32,2.2969583984375,0.0190249999994412,0.00475625,0.028,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,40,40,0,0,0,0,1,1,7,7,4,4
"C602005004",1,1,1,1,3,3,3,0,53,NA,2,-0.659465789794922,4.30401229858398,0.55,54.7727875,0.0100358499993337,0.00200716991424561,0.0755,2,NA,NA,4,0,NA,NA,0,NA,53,NA,NA,NA,4,NA,0,NA,7,NA,1,NA,4,NA,NA,NA,NA,NA,1,1,46,46,0,0,0,0,3,3,3,3,6,6
"C602005005",1,0,0,1,1,1,NA,1,65,NA,NA,-1.73381400108337,1.40805184841156,0.75,47.413634375,0.00268066660314798,0.00134033327102661,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,65,NA,0,NA,0,NA,3,NA,3,NA,4,NA
